0,213,92,170,206,237,142,140,145,66,170,inf,4,100,157,166,174,155,182,146,
213,0,224,103,54,224,174,73,132,147,107,inf,217,160,163,226,111,161,78,227,
92,224,0,181,181,184,50,151,92,158,117,inf,88,137,65,203,121,63,157,238,
170,103,181,0,128,181,131,30,89,104,64,inf,174,134,120,200,68,118,104,184,
206,54,181,128,0,181,131,98,89,172,64,inf,210,106,120,172,60,118,24,252,
237,224,184,181,181,0,134,151,92,225,117,inf,241,137,123,203,121,121,157,305,
142,174,50,131,131,134,0,101,42,175,67,inf,138,87,15,153,71,13,107,255,
140,73,151,30,98,151,101,0,59,74,34,inf,144,104,90,170,38,88,74,154,
145,132,92,89,89,92,42,59,0,133,25,inf,149,45,31,111,29,29,65,213,
66,147,158,104,172,225,175,74,133,0,108,inf,70,166,164,232,112,162,148,80,
170,107,117,64,64,117,67,34,25,108,0,inf,174,70,56,136,4,54,40,188,
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,
4,217,88,174,210,241,138,144,149,70,174,inf,0,104,153,170,178,151,186,150,
100,160,137,134,106,137,87,104,45,166,70,inf,104,0,76,66,74,74,82,246,
157,163,65,120,120,123,15,90,31,164,56,inf,153,76,0,142,60,2,96,244,
166,226,203,200,172,203,153,170,111,232,136,inf,170,66,142,0,140,140,148,312,
174,111,121,68,60,121,71,38,29,112,4,inf,178,74,60,140,0,58,36,192,
155,161,63,118,118,121,13,88,29,162,54,inf,151,74,2,140,58,0,94,242,
182,78,157,104,24,157,107,74,65,148,40,inf,186,82,96,148,36,94,0,228,
146,227,238,184,252,305,255,154,213,80,188,inf,150,246,244,312,192,242,228,0,
